knot,crossings,s_ub,exact_s,e_ub,e_ub_minus_s_ub,source_sticks,input_status,e_status
K11a222,11,11,,,,11,unchecked,none
K11a223,11,11,,,,11,matched,none
K11a224,11,11,,12,1,11,unchecked,reported_only
K11a225,11,11,,,,11,unchecked,none
K11a226,11,11,,,,11,unchecked,none
K11a227,11,11,,,,11,unchecked,none
K11a228,11,11,,11,0,11,unchecked,reported_only
K11a229,11,12,,,,12,unchecked,none
K11a23,11,11,,,,11,matched,none
K11a230,11,12,,,,12,unchecked,none
K11a231,11,12,,,,12,unchecked,none
K11a232,11,11,,,,11,matched,none
K11a233,11,10,,11,1,10,unchecked,reported_only
K11a234,11,12,,,,12,unchecked,none
K11a235,11,11,,,,11,unchecked,none
K11a236,11,11,,,,11,unchecked,none
K11a237,11,11,,,,11,unchecked,none
K11a238,11,11,,,,11,unchecked,none
K11a239,11,10,,,,10,unchecked,none
K11a24,11,11,,12,1,11,unchecked,reported_only
K11a240,11,11,,,,11,unchecked,none
K11a241,11,11,,,,11,unchecked,none
K11a242,11,11,,,,11,unchecked,none
K11a243,11,11,,,,11,unchecked,none
K11a244,11,11,,,,11,unchecked,none
K11a245,11,11,,,,11,unchecked,none
K11a246,11,12,,,,12,unchecked,none
K11a247,11,12,,12,0,12,matched,reported_only
K11a248,11,11,,11,0,11,unchecked,reported_only
K11a249,11,11,,11,0,11,unchecked,reported_only
K11a25,11,11,,,,11,unchecked,none
K11a250,11,11,,,,11,unchecked,none
K11a251,11,11,,,,11,unchecked,none
K11a252,11,11,,,,11,unchecked,none
K11a253,11,11,,12,1,11,unchecked,reported_only
K11a254,11,11,,,,11,unchecked,none
K11a255,11,11,,11,0,11,unchecked,reported_only
K11a256,11,11,,11,0,11,unchecked,reported_only
K11a257,11,11,,11,0,11,unchecked,reported_only
K11a258,11,11,,,,11,unchecked,none
K11a259,11,11,,,,11,unchecked,none
K11a26,11,11,,11,0,11,unchecked,reported_only
K11a260,11,11,,,,11,matched,none
K11a261,11,11,,11,0,11,unchecked,reported_only
K11a262,11,11,,11,0,11,unchecked,reported_only
K11a263,11,11,,,,11,unchecked,none
K11a264,11,11,,12,1,11,unchecked,reported_only
K11a265,11,11,,12,1,11,unchecked,reported_only
K11a266,11,10,,12,2,10,unchecked,reported_only
K11a267,11,10,,11,1,10,unchecked,reported_only
K11a268,11,10,,12,2,10,matched,reported_only
K11a269,11,10,,10,0,10,unchecked,reported_only
K11a27,11,11,,12,1,11,unchecked,reported_only
K11a270,11,11,,11,0,11,unchecked,reported_only
K11a271,11,11,,,,11,unchecked,none
K11a272,11,11,,,,11,unchecked,none
K11a273,11,11,,,,11,matched,none
K11a274,11,11,,,,11,unchecked,none
K11a275,11,11,,,,11,unchecked,none
K11a276,11,11,,,,11,unchecked,none
K11a277,11,11,,11,0,11,unchecked,reported_only
K11a278,11,11,,11,0,11,unchecked,reported_only
K11a279,11,11,,11,0,11,unchecked,reported_only
K11a28,11,11,,12,1,11,unchecked,reported_only
K11a280,11,11,,11,0,11,unchecked,reported_only
K11a281,11,11,,11,0,11,unchecked,reported_only
K11a282,11,11,,11,0,11,unchecked,reported_only
