knot,crossings,sticks,input_min_dist
K11a164,11,11,9.9641514702332191e-05
K11a165,11,11,0.0043833020699797741
K11a166,11,12,0.0010432861924397729
K11a167,11,11,0.016859073556074296
K11a168,11,11,0.006762414824440584
K11a169,11,11,0.00014444162656551348
K11a17,11,12,0.00038623401613245654
K11a170,11,11,0.0036279889053997148
K11a171,11,11,0.0036190514790319069
K11a172,11,11,0.0012496344649899065
K11a173,11,11,0.0048732184437231237
K11a174,11,11,0.0022290538657807266
K11a175,11,11,0.00052824183125384444
K11a176,11,11,0.0019570380115822689
K11a177,11,11,0.0014048061794019896
K11a178,11,11,0.011719477826794531
K11a179,11,12,0.00030298081241669262
K11a18,11,11,0.0011871530649656165
K11a180,11,11,0.00019436252823274604
K11a181,11,11,0.00016343883811048934
K11a182,11,11,0.00092965500844246086
K11a183,11,11,0.0001020711918802456
K11a184,11,11,0.0055078650234340245
K11a185,11,11,0.0059066687697300535
K11a186,11,11,0.0010050713145292938
K11a187,11,11,0.00077249775417308013
K11a188,11,11,0.014999578664021469
K11a189,11,11,0.0042312218099201529
K11a19,11,11,0.0045806879007232798
K11a190,11,11,0.0022171063660688809
K11a191,11,11,0.00055157645116674287
K11a192,11,11,0.0050349778802274642
K11a193,11,11,5.4967781511730809e-05
K11a194,11,11,0.0026495933331408626
K11a195,11,11,0.00089262476625874857
K11a196,11,11,0.0034515395497185025
K11a197,11,11,0.0015098620105723592
K11a198,11,11,0.0045216374582419706
K11a199,11,11,0.019551319369974125
K11a2,11,11,0.00031958373588405423
K11a20,11,11,0.0028550433866953093
K11a200,11,11,2.3807079822690464e-05
K11a201,11,11,0.005032984896326663
K11a202,11,11,0.00012566555222100797
K11a203,11,11,0.014244471610949216
K11a204,11,11,0.0017861469621793106
K11a205,11,11,0.0073915868234555836
K11a206,11,11,0.0044457154165578848
K11a207,11,11,0.00011549653626402626
K11a208,11,11,0.0091922891149972472
K11a209,11,11,0.0084260942711251972
K11a21,11,12,0.0029910660775470436
K11a210,11,11,0.0024157970770014828
K11a211,11,11,0.0062355472853711635
K11a212,11,11,0.0014298990263622927
K11a213,11,11,0.0040955174842147359
K11a214,11,11,0.0064000156223989824
K11a215,11,11,0.0013323015935796071
K11a216,11,11,0.0010240204672029396
K11a217,11,11,0.00084470238313386265
K11a218,11,11,0.0022619362433370588
K11a219,11,11,0.00010808637712553567
K11a22,11,11,0.0055243164958265287
K11a220,11,11,0.010455321684925604
K11a221,11,11,0.00013812521387579214
K11a222,11,11,0.0051259370381584301
K11a223,11,11,0.020876840133541495
K11a224,11,11,0.0038462181696274811
K11a225,11,11,0.0079331890174234362
K11a226,11,11,0.00025987782514931584
K11a227,11,11,0.0033654635436590123
K11a228,11,11,0.0011829105625196781
K11a229,11,12,0.0044277944325258551
K11a23,11,11,0.0022665619150888071
K11a230,11,12,0.00093343716065893566
K11a231,11,12,0.00053047895128491675
K11a232,11,11,0.0007254994041828738
K11a233,11,10,0.00047320913566970517
K11a234,11,12,0.00062478301555771566
K11a235,11,11,0.0015805735407684349
K11a236,11,11,0.01183318906221249
K11a237,11,11,0.00062867490368921706
K11a238,11,11,2.6737610934630906e-05
K11a239,11,10,0.00029729395416133134
K11a24,11,11,0.004903175626024628
K11a240,11,11,0.0020691882123875676
K11a241,11,11,0.0042399744751218486
K11a242,11,11,0.0054615907967621525
K11a243,11,11,0.0026626055992812407
